position,text,points,option_a,option_b,option_c,option_d,correct
1,في أي عام استقلت المملكة الأردنية الهاشمية؟,100,1921,1952,1946,1967,c
2,من هو مؤسس إمارة شرق الأردن؟,100,الملك حسين,الملك عبدالله الأول,الملك طلال,الملك عبدالله الثاني,b
3,ما عاصمة الأردن؟,200,إربد,الزرقاء,العقبة,عمّان,d
4,في أي عام صدر الدستور الأردني الحالي؟,100,1928,1946,1952,1965,c
5,ما اسم الميناء الرئيسي في الأردن؟,100,ميناء الزرقاء,ميناء العقبة,ميناء إربد,ميناء المفرق,b
6,البتراء مدينة أثرية بناها:,200,الأنباط,الرومان,الأمويون,العثمانيون,a
7,في أي عام تولى الملك عبدالله الثاني الحكم؟,100,1995,2001,1999,2005,c
8,ما أخفض نقطة على سطح الأرض وتقع في الأردن؟,100,وادي رم,البحر الميت,جبل أم الدامي,وادي الأردن,b
9,قلعة عجلون بناها:,200,صلاح الدين الأيوبي,عزالدين أسامة,الظاهر بيبرس,هارون الرشيد,b
10,ما اسم أعلى قمة جبلية في الأردن؟,100,جبل أم الدامي,جبل نيبو,جبل القلعة,جبل عمان,a
11,الثورة العربية الكبرى انطلقت عام:,100,1908,1921,1936,1916,d
12,ما العملة الرسمية للأردن؟,200,الدينار,الدرهم,الريال,الليرة,a
13,قصر عمرة من القصور:,100,الأموية,الرومانية,العباسية,العثمانية,a
14,كم عدد محافظات الأردن؟,100,10,14,16,12,d
15,جرش مدينة أثرية تعود إلى العصر:,200,النبطي,الأموي,الروماني,المملوكي,c
