position,text,points,option_a,option_b,option_c,option_d,correct
1,ما إعراب كلمة (الطالبُ) في جملة: ذهب الطالبُ إلى المدرسة؟,100,مفعول به منصوب,فاعل مرفوع,مبتدأ مرفوع,خبر مرفوع,b
2,ما نوع (كان) في جملة: كان الجوُّ جميلاً؟,100,فعل تام,حرف جر,فعل ناقص,اسم,c
3,ما علامة رفع جمع المذكر السالم؟,200,الواو,الضمة,الألف,التاء,a
4,أعرب كلمة (كتابين) في: اشتريتُ كتابين.,100,مفعول به منصوب بالياء,فاعل مرفوع بالألف,مبتدأ مرفوع,مجرور بالياء,a
5,ما الحرف الناسخ في: إنَّ العلمَ نورٌ؟,100,العلم,نور,لا يوجد,إنَّ,d
6,ما جمع كلمة (قلم)؟,200,أقلام,قلمات,قلمون,قلائم,a
7,في جملة (لا تهملْ واجبك) ما نوع (لا)؟,100,لا النافية,لا النافية للجنس,لا الزائدة,لا الناهية,d
8,ما إعراب (مجتهدون) في: الطلابُ مجتهدون؟,100,فاعل مرفوع,مفعول به,خبر مرفوع بالواو,نعت,c
9,أي الكلمات التالية ممنوعة من الصرف؟,200,مدرسة,فاطمة,كتاب,قلم,b
10,ما الفعل المضارع المجزوم في: لم يكتبْ الدرس؟,100,لم,الدرس,يكتبْ,لا يوجد,c
11,ما نوع الإضافة في (بابُ البيتِ)؟,100,إضافة لفظية,ليست إضافة,نعت ومنعوت,إضافة معنوية,d
12,ما التمييز في: اشتريتُ رطلاً عسلاً؟,200,رطلاً,عسلاً,اشتريت,لا يوجد,b
13,أعرب (يا محمدُ) نداءً.,100,منادى منصوب,منادى مجرور,منادى مبني على الضم,فاعل,c
14,ما الحال في: عاد الجنديُّ منتصراً؟,100,الجندي,منتصراً,عاد,لا يوجد,b
15,ما إعراب الفعل (يسافرَ) في: أريد أن يسافرَ؟,200,منصوب,مرفوع,مجزوم,مبني,a
