position,text,points,option_a,option_b,option_c,option_d,correct
1,ما مرادف كلمة (البهجة)؟,100,السرور,الحزن,الغضب,الخوف,a
2,ما ضد كلمة (الكرم)؟,100,الجود,البخل,السخاء,العطاء,b
3,ما معنى (أشرقت الشمس)؟,200,طلعت,غابت,اختفت,احترقت,a
4,في جملة (القراءة غذاء العقل) ما نوع التشبيه؟,100,تشبيه مرسل,تشبيه تمثيلي,تشبيه بليغ,ليس تشبيهاً,c
5,ما جمع كلمة (كتاب)؟,100,كتابات,كواتب,كتابون,كتب,d
6,ما مفرد كلمة (أقلام)؟,200,قلمة,قلم,مقلمة,قالم,b
7,(الوقت كالسيف) - ما وجه الشبه؟,100,اللون,السرعة والقطع,الحجم,الصوت,b
8,ما معنى المثل (الطيور على أشكالها تقع)؟,100,الطيور تسقط,الطيران صعب,المتشابهون يجتمعون,الطيور تهاجر,c
9,ما نوع الأسلوب في: ما أجملَ السماءَ!,200,استفهام,نداء,تعجب,نفي,c
10,ما ضد كلمة (النور)؟,100,الضياء,الشمس,القمر,الظلام,d
11,ما مرادف كلمة (الشجاعة)؟,100,الجبن,الإقدام,التردد,الخوف,b
12,في (زأر الأسد) الفعل يدل على:,200,مشي الأسد,نوم الأسد,صوت الأسد,أكل الأسد,c
13,ما معنى (استنارَ المكان)؟,100,أظلم,اتسع,ضاق,امتلأ نوراً,d
14,ما جمع كلمة (مدرسة)؟,100,مدارس,مدرسات فقط,مداريس,مدرسون,a
15,ما نوع الجملة: (يجتهد الطالب)؟,200,فعلية,اسمية,شرطية,استفهامية,a
